Lao phổi,"Lao phổi là bệnh truyền nhiễm do vi khuẩn Mycobacterium tuberculosis gây ra, chủ yếu lây qua đường hô hấp khi người bệnh ho, hắt hơi, nói chuyện hoặc khạc nhổ. Bệnh có thể lây lan mạnh nếu không được điều trị, nhưng hoàn toàn có thể chữa khỏi nếu phát hiện và điều trị sớm. Vi khuẩn lao có thể tấn công phổi và các cơ quan khác như não, thận, xương. Những người có hệ miễn dịch yếu dễ nhiễm bệnh hơn. Triệu chứng chính bao gồm ho kéo dài, đau ngực, mệt mỏi, sụt ng, đổ mồ hôi trộm, sốt nhẹ."
Viêm ruột thừa,"Viêm ruột thừa là tình trạng viêm của ruột thừa, một ống mỏng nối với ruột già, nằm ở vùng dưới bên phải bụng. Bệnh có thể xảy ra ở mọi lứa tuổi, phổ biến nhất từ 10-30 tuổi, do các nguyên nhân như vi khuẩn, virus, tắc nghẽn phân, hoặc khối u. Đây là tình trạng khẩn cấp, gây đau bụng, buồn nôn, sốt, và có thể dẫn đến biến chứng nguy hiểm như viêm phúc mạc nếu không điều trị kịp thời. Phương pháp điều trị tiêu chuẩn là phẫu thuật cắt bỏ ruột thừa."
Trĩ,"Bệnh trĩ là tình trạng phổ biến liên quan đến sự phình giãn của đám rối tĩnh mạch ở hậu môn, gây đau, ngứa, chảy máu và khó chịu. Bệnh được chia thành trĩ nội (hình thành trên đường lược, ít đau) và trĩ ngoại (dưới đường lược, gây đau nhiều). Trĩ được phân độ từ 1 đến 4 dựa trên mức độ sa búi trĩ. Nguyên nhân bao gồm táo bón, tiêu chảy, rặn mạnh, ngồi lâu, chế độ ăn thiếu chất xơ, béo phì, mang thai, hoặc các yếu tố làm tăng áp lực tĩnh mạch như lao động nặng, khối u vùng tiểu khung."
Cảm lạnh,"Cảm lạnh là bệnh hô hấp phổ biến do virus như Rhinovirus hoặc Enterovirus gây ra, thường ảnh hưởng đến xoang, mũi, họng với các triệu chứng nhẹ, tự khỏi sau khoảng 1 tuần."
Tăng huyết áp,"Tăng huyết áp (hypertension) hay cao huyết áp là tình trạng áp lực dòng chảy của máu lên thành động mạch tăng cao. Tăng huyết áp là bệnh lý nguy hiểm gây tổn thương tim, mạch máu, não, mắt, thận và nhiều bệnh mạn tính khác; và là nguyên nhân chính gây tử vong sớm trên toàn cầu."
Sốt rét,"Sốt rét (Malaria) là bệnh do ký sinh trùng Plasmodium gây ra với các triệu chứng đau đầu, sốt, lạnh run và dễ tử vong. Người mắc bệnh sau khi bị muỗi Anophen đốt từ 10 -15 ngày. Bệnh có thể lây truyền qua đường truyền máu, mẹ sang con, dùng chung bơm kim tiêm dính máu có ký sinh trùng sốt rét hoặc bị muỗi đốt."
Sốt xuất huyết,"Sốt xuất huyết là bệnh truyền nhiễm cấp tính do virus Dengue gây ra, lây truyền qua muỗi vằn. Bệnh phổ biến theo mùa, có thể gây biến chứng nguy hiểm, thậm chí tử vong nếu không điều trị kịp thời. Triệu chứng ở người lớn và trẻ em tương tự, bao gồm sốt cao, phát ban, đau cơ, khớp, và có thể tiến triển nặng như xuất huyết nội tạng hoặc hội chứng sốc Dengue. Bệnh có ba dạng: thể nhẹ (sốt, phát ban, đau cơ), xuất huyết nội tạng (chảy máu tiêu hóa, não), và sốc Dengue (chảy máu ồ ạt, hạ huyết áp). Trẻ em dễ mắc hơn người lớn, và bệnh nặng thường xảy ra ở lần nhiễm sau.",
Viêm gan A,"Viêm gan A là bệnh nhiễm trùng gan cấp tính do virus viêm gan A (HAV) gây ra, chủ yếu lây qua đường tiêu hóa (phân-miệng) thông qua thực phẩm hoặc nước ô nhiễm. Bệnh thường gặp ở các nước đang phát triển, đặc biệt nơi có điều kiện vệ sinh kém. Bệnh không gây viêm gan mạn tính, hiếm khi tử vong và thường tự hồi phục sau 2-4 tuần. Người nhiễm bệnh sẽ có miễn dịch suốt đời. Vaccine và các biện pháp vệ sinh giúp phòng ngừa hiệu quả."
Viêm gan B,"Viêm gan B là bệnh nhiễm trùng gan do virus viêm gan B (HBV) gây ra, phổ biến toàn cầu với khoảng 2 tỷ người từng nhiễm và 300 triệu người mắc mãn tính. Bệnh chia thành hai loại: cấp tính (kéo dài dưới 6 tháng, 90% người trưởng thành tự khỏi) và mãn tính (kéo dài trên 6 tháng, nguy cơ cao gây xơ gan, suy gan, ung thư gan). Việt Nam có tỷ lệ nhiễm cao, khoảng 10 triệu người mắc, chủ yếu mãn tính, nhiều người không biết mình bệnh. Nguyên nhân: do HBV lây qua máu, quan hệ tình dục, từ mẹ sang con, hoặc dùng chung kim tiêm. Đối tượng nguy cơ cao: trẻ sơ sinh có mẹ nhiễm bệnh, người tiêm chích ma túy, nhân viên y tế, người ở vùng dịch tễ cao. Phòng ngừa: tiêm vắc-xin, quan hệ tình dục an toàn, tránh dùng chung kim tiêm."
Viêm gan C,"Viêm gan C là bệnh nhiễm trùng do virus viêm gan C (HCV) gây ra, dẫn đến viêm và tổn thương gan. Bệnh có thể diễn tiến từ cấp tính đến mạn tính, gây xơ gan hoặc ung thư gan nếu không được điều trị. Hiện chưa có vắc-xin phòng ngừa, do đó cần thực hiện các biện pháp bảo vệ và khám sức khỏe định kỳ để phát hiện và điều trị sớm. Triệu chứng thường không rõ ràng ở giai đoạn đầu, đặc biệt ở viêm gan C cấp tính, và có thể trở nặng khi bệnh tiến triển thành xơ gan hoặc ung thư gan."
Viêm gan D,"Viêm gan D (HDV) là bệnh nhiễm trùng gan do virus HDV gây ra, chỉ xảy ra khi đồng nhiễm với viêm gan B (HBV) vì HDV cần HBV để nhân lên. Bệnh có thể ở dạng cấp tính (ngắn hạn, có thể tự khỏi hoặc điều trị triệt căn) hoặc mạn tính (kéo dài, gây biến chứng nghiêm trọng như xơ gan, ung thư gan). Viêm gan D được chia thành đồng nhiễm (nhiễm HBV và HDV cùng lúc) hoặc bội nhiễm (nhiễm HDV trên nền HBV mạn tính). Triệu chứng tương tự các loại viêm gan khác, nhưng bội nhiễm thường nặng hơn. Cần chẩn đoán và điều trị sớm để tránh tổn thương gan vĩnh viễn."
Tụt huyết áp,"Tụt huyết áp (hạ huyết áp) là tình trạng huyết áp giảm đột ngột, thường với huyết áp tâm thu < 90 mmHg hoặc tâm trương < 60 mmHg, gây thiếu máu nuôi các cơ quan như tim, não. Đây có thể là triệu chứng của các tình trạng nguy kịch như mất máu cấp, sốc giảm thể tích, sốc nhiễm trùng, hoặc sốc tim, cần cấp cứu ngay để tránh suy đa cơ quan. Huyết áp thấp có thể là mạn tính hoặc sinh lý ở một số người, không luôn gây triệu chứng, nhưng khi nghiêm trọng có thể dẫn đến chóng mặt, ngất xỉu, hoặc sốc. Cần xác định nguyên nhân để điều trị phù hợp."
Thiếu máu não,"Thiếu máu não là tình trạng não bộ không được cung cấp đủ máu, oxy và dinh dưỡng, dẫn đến suy giảm chức năng não. Bệnh thường gặp ở người trung niên, cao tuổi, nhưng đang có xu hướng trẻ hóa, đặc biệt ở giới văn phòng và lao động trí óc. Thiếu máu não ảnh hưởng đến sinh hoạt hàng ngày và có thể gây hậu quả nghiêm trọng nếu không được phòng ngừa, điều trị kịp thời."
Viêm phổi,"Viêm phổi là tình trạng viêm nhiễm nhu mô phổi, bao gồm phế nang, túi phế nang, ống phế nang, tổ chức liên kết và tiểu phế quản tận cùng. Phổi có thể chứa chất lỏng hoặc mủ, gây ho có đờm, sốt, ớn lạnh và khó thở. Nguyên nhân chủ yếu do vi khuẩn, virus, nấm hoặc hóa chất. Bệnh được phân loại theo nguyên nhân (vi khuẩn, virus, nấm, hóa chất) và nguồn lây nhiễm (cộng đồng, bệnh viện). Viêm phổi đặc biệt nguy hiểm ở trẻ sơ sinh, trẻ nhỏ, người trên 65 tuổi, hoặc người có bệnh nền, hệ miễn dịch yếu. Triệu chứng từ nhẹ (giống cảm lạnh/cúm) đến nặng, tùy thuộc vào loại tác nhân, tuổi tác và sức khỏe tổng thể."
Trào ngược dạ dày thực quản,"Trào ngược dạ dày thực quản (GERD) là bệnh lý tiêu hóa phổ biến, xảy ra khi axit dạ dày trào ngược lên thực quản, gây kích ứng niêm mạc và triệu chứng khó chịu. Nguyên nhân chủ yếu do cơ vòng dưới thực quản hoạt động bất thường hoặc yếu, dẫn đến trào ngược axit thường xuyên. Các yếu tố nguy cơ bao gồm béo phì, thoát vị hoành, mang thai, hút thuốc, hen suyễn, tiểu đường, và rối loạn mô liên kết. Nếu không điều trị, GERD có thể gây biến chứng như viêm, chảy máu, hẹp thực quản, hoặc thực quản Barrett (tiền ung thư).Bệnh không dễ điều trị dứt điểm, dễ tái phát, nhưng có thể kiểm soát bằng phác đồ điều trị kết hợp thay đổi lối sống và thói quen ăn uống."
Viêm dạ dày,"Viêm dạ dày là tình trạng niêm mạc dạ dày bị tổn thương, bào mòn do vi khuẩn (chủ yếu là H.pylori), acid dạ dày, thuốc (NSAIDs), rượu hoặc thói quen ăn uống không lành mạnh. Việc thăm khám và điều trị sớm tại cơ sở y tế là cần thiết để ngăn ngừa biến chứng và cải thiện chất lượng sống."
Viêm loét dạ dày,"Viêm loét dạ dày là tình trạng tổn thương gây viêm và loét niêm mạc dạ dày do lớp bảo vệ niêm mạc bị bào mòn, để lộ lớp mô bên dưới. Bệnh có thể gây xuất huyết tiêu hóa, nguy hiểm đến tính mạng nếu không điều trị kịp thời. Viêm loét dạ dày gặp ở mọi lứa tuổi, đặc biệt ở người già (chiếm 60% ca bệnh)."
Viêm thực quản,"Viêm thực quản là tình trạng viêm sưng niêm mạc thực quản, thường do trào ngược acid dạ dày, nhiễm trùng, thuốc, hoặc tăng bạch cầu ái toan. Bệnh gây khó nuốt, đau ngực, nóng rát ngực, và có thể dẫn đến biến chứng như loét, teo hẹp, hoặc ung thư thực quản nếu không điều trị kịp thời. Các yếu tố nguy cơ bao gồm chế độ ăn không lành mạnh, hút thuốc, béo phì, xạ trị, hoặc hệ miễn dịch yếu. Điều trị thường bằng thuốc nội khoa dựa trên nguyên nhân và tình trạng bệnh nhân."
Xuất huyết dạ dày,"Xuất huyết dạ dày là tình trạng niêm mạc dạ dày bị tổn thương gây chảy máu, dẫn đến nôn ra máu, đi ngoài phân đen hoặc ra máu. Đây là biến chứng cấp tính nguy hiểm, có thể gây tử vong nếu không cấp cứu kịp thời. Bệnh thường gặp ở nam giới uống nhiều rượu bia hoặc trẻ nhỏ bị nhiễm trùng tiêu hóa."
Đau dạ dày,"Đau dạ dày là tình trạng tổn thương hoặc rối loạn vận động dạ dày, gây tăng tiết axit dịch vị, dẫn đến đau âm ỉ, nóng rát hoặc tức ở vùng thượng vị. Đau có thể xuất hiện khi đói, ban đêm hoặc sau ăn, lan ra sau lưng, kèm cảm giác khó chịu ngắn hoặc kéo dài. Nếu không điều trị sớm, bệnh có thể gây biến chứng nguy hiểm."
Trào ngược họng thanh quản,"Trào ngược họng – thanh quản (LPR) là tình trạng acid từ dịch dạ dày di chuyển ngược lên thực quản, gây tổn thương vùng họng và thanh quản. Bệnh có thể xảy ra ở bất kỳ ai, nhưng những người có chế độ ăn nhiều dầu mỡ, chua cay, thừa cân, mặc quần áo chật, hoặc stress có nguy cơ cao hơn. Nguyên nhân chính là do cơ thắt thực quản hoạt động kém, khiến dịch dạ dày chứa acid trào ngược lên họng."
Xơ gan,"Xơ gan là giai đoạn cuối của quá trình xơ hóa gan do các nguyên nhân như viêm gan virus, nghiện rượu mãn tính, dẫn đến sự hình thành mô sẹo làm cản trở chức năng gan. Gan bị tổn thương không thể xử lý chất dinh dưỡng, hormone, thuốc và chất độc hiệu quả, đồng thời giảm sản xuất protein."
Viêm đại tràng,"Viêm đại tràng là một bệnh tiêu hóa gây viêm nhiễm và tổn thương niêm mạc đại tràng, với mức độ từ nhẹ (niêm mạc dễ chảy máu) đến nặng (loét, sung huyết, áp-xe). Bệnh có thể ở dạng cấp tính hoặc mãn tính, gây triệu chứng như đau bụng, rối loạn đại tiện (tiêu chảy, táo bón), phân không thành khuôn, đầy hơi, chướng bụng."
Viêm ruột,"Viêm ruột là tình trạng viêm nhiễm tại đường tiêu hóa, chủ yếu ở ruột non và ruột già, bao gồm viêm ruột cấp tính (do nhiễm trùng) và mãn tính (như bệnh Crohn, viêm loét đại tràng). Nguyên nhân bao gồm nhiễm trùng (vi khuẩn, virus, ký sinh trùng), rối loạn miễn dịch, tác nhân vật lý/hóa học, hoặc lối sống không lành mạnh. Viêm ruột gây triệu chứng như đau bụng, tiêu chảy, sốt, đầy hơi, mệt mỏi, xuất huyết tiêu hóa, sụt cân và có thể kèm theo biến chứng ngoài ruột (viêm khớp, loét miệng, viêm mắt). Nhận biết sớm triệu chứng giúp chẩn đoán và điều trị kịp thời, hạn chế biến chứng nguy hiểm."
Viêm trực tràng,"Viêm trực tràng là tình trạng viêm ở niêm mạc trực tràng, phần ống cơ nối ruột già với hậu môn. Bệnh có thể xảy ra cấp tính (ngắn hạn, tổn thương ở lớp niêm mạc bề mặt) hoặc mạn tính (kéo dài, tổn thương sâu vào lớp biểu mô). Viêm trực tràng gây khó chịu, đau, có thể dẫn đến chảy máu hoặc tiết dịch nhầy."
Táo bón,"Táo bón là tình trạng nhu động ruột không đều, đi đại tiện khó khăn hoặc ít hơn 3 lần/tuần, kéo dài vài tuần hoặc hơn. Táo bón mãn tính gây cản trở sinh hoạt, khiến người bệnh rặn nhiều khi đi vệ sinh, và có thể là triệu chứng của các bệnh lý khác."
Sỏi thận,"Sỏi thận là tình trạng lắng cặn muối và khoáng chất trong thận, phổ biến ở vùng nhiệt đới nóng ẩm như Việt Nam. Nguyên nhân bao gồm thiếu nước, dị dạng bẩm sinh, nhiễm trùng, chế độ ăn không khoa học, hoặc sử dụng một số thuốc lâu dài."
